Ecru,#fff7e7,,Ecru/off-white
Blanc,#fcfcff,,White
White,#fcfcff,,White
B5200,#ffffff,,Snow White
1,#efeef0,,White Tin
2,#c5c4c9,,Tin
3,#b0b0b5,,Tin - Medium
4,#9c9b9d,,Tin - Dark
5,#e3ccbe,,Driftwood - Light
6,#dcc6b8,,Driftwood - Medium Light
7,#ccb8aa,,Driftwood
8,#9d7d71,,Driftwood - Dark
9,#552014,,Cocoa - Very Dark
10,#edfed9,,Tender Green - Very Light
11,#e2edb5,,Tender Green - Light
12,#cdd99a,,Tender Green
13,#bff6e0,,Nile Green - Medium Light
14,#d0fbb2,,Apple Green - Pale
15,#d1eda4,,Apple Green
16,#a4d67c,,Chartreuse - Light
17,#e5e272,,Yellow Plum - Light
18,#d9d56d,,Yellow Plum
19,#f7c95f,,Autumn Gold - Medium Light
20,#f7af93,,Shrimp
21,#d79982,,Alizarian - Light
22,#bc604e,,Alizarian
23,#ede2ed,,Apple Blossom
24,#e0d7ee,,White Lavender
25,#dad2e9,,Lavender - Ultra Light
26,#cfc8de,,Lavender - Pale
27,#e9ecfc,,White Violet
28,#7d4e92,,Eggplant - Medium Light
29,#674076,,Eggplant
30,#6d54d3,,Blueberry - Medium Light
31,#5834a3,,Blueberry
32,#4d2e8a,,Blueberry - Dark
33,#d9539f,,Fuchsia
34,#ae4280,,Fuchsia - Dark
35,#732b55,,Fuchsia - Very Dark
150,#cf0053,,Red - Bright
151,#ffcbd7,,Pink
152,#e1a1a1,,Tawny - Dark
153,#eac5eb,,Lilac
154,#4b233a,,Red - Very Dark
155,#9774b6,,Forget-me-not Blue
156,#8577b4,,Blue - Medium
157,#b5b8ea,,Blue - Light
158,#393068,,Blue - Dark
159,#bcb5de,,Petrol Blue - Light
160,#8178a9,,Petrol Blue - Medium
161,#60568b,,Petrol Blue - Dark
162,#cae7f0,,Baby Blue - Light
163,#557a60,,Green
164,#bae4b6,,Green - Light
165,#e1f477,,Green - Bright
166,#adc238,,Lime Green
167,#855d31,,Khaki Brown
168,#b1aeb7,,Silver Gray
169,#827d7d,,Pewter Gray
208,#9442a7,,Lavender - Very Dark
209,#ba72c6,,Lavender - Dark
210,#d49fe1,,Lavender - Medium
211,#e5bded,,Lavender - Light
221,#792631,,Shell Pink - Very Dark
223,#bb6864,,Shell Pink - Light
224,#e2a598,,Shell Pink - Very Light
225,#f8d9cd,,Shell Pink - Ultra Very Light
300,#6c3116,,Mahogany - Very Dark
301,#aa5237,,Mahogany - Medium
304,#a10c39,,Red - Medium
307,#fde949,,Lemon
309,#ba2044,,Rose - Dark
310,#000000,,Black
311,#002a64,,Blue - Medium
312,#1f3279,,Baby Blue - Very Dark
315,#7d4246,,Antique Mauve - Medium Dark
316,#bc757f,,Antique Mauve - Medium
317,#6d6469,,Pewter Gray
318,#999b9d,,Steel Gray - Light
319,#3a553b,,Pistachio Green - Very Dark
320,#608c59,,Pistachio Green - Medium
321,#bd1136,,Red
322,#3a609d,,Baby Blue
326,#ac1c37,,Rose - Very Dark
327,#5e0f77,,Violet
333,#6e2e9b,,Blue Violet - Very Dark
334,#6085b8,,Baby Blue - Medium
335,#d63d57,,Rose
336,#0c275e,,Blue
340,#996dc3,,Blue Violet - Medium
341,#a39ad7,,Blue Violet - Light
347,#ab1b33,,Salmon - Very Dark
349,#c62c38,,Coral - Dark
350,#de3f40,,Coral - Medium
351,#ed625b,,Coral
352,#f78372,,Coral - Light
353,#fdb4a1,,Peach
355,#97382b,,Terra Cotta - Dark
356,#be5c4b,,Terra Cotta - Medium
367,#446b45,,Pistachio Green - Dark
368,#7fc66d,,Pistachio Green - Light
369,#cdefa6,,Pistachio Green - Very Light
370,#917245,,Mustard - Medium
371,#9f8352,,Mustard
372,#ad9564,,Mustard - Light
400,#813718,,Mahogany - Dark
402,#ef9e74,,Mahogany - Very Light
407,#b77159,,Desert Sand - Dark
413,#4a4749,,Pewter Gray - Dark
414,#766e72,,Steel Gray - Dark
415,#b8b9bd,,Pearl Gray
