,Anchor,Círculo
#VALUE!,1,100
1,2,104
4,6,265
2,8,259
1,9,256
1,10,250
1,11,247
2,13,226
6,19,235
1,20,241
2,22,241
1,23,341
1,24,338
1,25,341
1,26,344
1,27,326
1,28,329
1,29,332
2,31,344
2,33,317
2,35,320
1,36,340
2,38,326
1,39,313
1,40,327
1,41,326
1,42,313
1,43,308
1,44,241
1,45,241
1,46,229
1,47,235
1,48,335
1,49,362
1,50,359
2,52,356
2,54,327
1,55,356
2,57,327
2,59,308
1,60,368
2,62,353
1,63,354
2,65,374
1,66,368
2,68,371
1,69,377
1,70,426
2,72,423
1,73,401
1,74,347
1,75,343
1,76,353
1,77,371
1,78,371
7,85,459
1,86,459
1,87,465
1,88,471
1,89,471
1,90,462
2,92,456
2,94,468
1,95,462
1,96,459
1,97,456
1,98,447
1,99,458
1,100,453
1,101,450
1,102,503
1,103,365
5,108,515
1,109,509
1,110,506
1,111,447
1,112,450
5,117,530
1,118,527
1,119,506
1,120,536
1,121,530
1,122,525
1,123,521
4,127,554
1,128,536
1,129,539
1,130,539
1,131,544
1,132,550
1,133,550
1,134,551
2,136,545
1,137,544
2,139,551
1,140,539
2,142,548
1,143,550
1,144,542
1,145,530
1,146,545
1,147,548
1,148,560
1,149,555
1,150,557
2,152,554
6,158,639
1,159,536
1,160,619
1,161,633
1,162,563
2,164,566
3,167,636
1,168,642
1,169,572
1,170,569
5,175,530
1,176,527
1,177,521
1,178,518
7,185,774
1,186,771
1,187,768
1,188,768
1,189,768
14,203,756
1,204,756
1,205,759
1,206,672
2,208,669
1,209,759
1,210,750
1,211,750
1,212,660
1,213,675
1,214,672
1,215,669
1,216,663
1,217,660
1,218,808
7,225,732
1,226,732
1,227,762
1,228,762
1,229,762
1,230,762
1,231,928
1,232,930
1,233,934
1,234,914
1,235,917
1,236,903
2,238,735
1,239,738
1,240,729
1,241,729
1,242,732
1,243,741
1,244,744
1,245,744
1,246,744
7,253,705
1,254,712
1,255,717
1,256,726
1,257,738
1,258,738
1,259,705
1,260,802
1,261,729
1,262,806
1,263,810
1,264,711
1,265,717
1,266,723
1,267,723
1,268,720
1,269,812
2,271,268
2,273,814
1,274,639
1,275,106
1,276,868
1,277,161
1,278,829
1,279,830
1,280,826
1,281,805
7,288,132
1,289,143
1,290,136
1,291,136
1,292,109
1,293,135
2,295,146
2,297,135
1,298,138
2,300,112
1,301,112
1,302,118
1,303,121
1,304,126
1,305,146
1,306,152
1,307,155
1,308,158
1,309,161
1,310,880
1,311,115
2,313,115
1,314,126
2,316,123
7,323,214
1,324,123
2,326,841
2,328,211
1,329,214
1,330,217
2,332,220
1,333,223
1,334,223
1,335,223
1,336,271
1,337,274
1,338,274
1,339,844
1,340,246
1,341,846
1,342,438
0,342,621
5,347,890
2,349,164
2,351,850
1,352,856
3,355,878
2,357,880
1,358,882
1,359,882
1,360,854
1,361,890
1,362,872
1,363,158
2,365,167
1,366,890
1,367,870
1,368,890
1,369,876
1,370,878
1,371,878
1,372,890
1,373,886
1,374,836
