,Anchor,DMC,Description of Color
,2,1,White Tin
,234,2,Tin
,235,4,Tin – Dk
,933,5,Driftwood – Lt
,376,6,Driftwood – Med Lt
,378,7,Driftwood
,379,8,Driftwood – Dk
,360,9,Cocoa – Vy Dk
,259,11,Tender Green – Lt
,1092,13,Nile Green – Med Lt
,1043,16,Chartreuse – Lt
,278,17,Yellow Plum – Lt
,279,18,Yellow Plum
,305,19,Autumn Gold – Med Lt
,336,20,Shrimp
,883,21,Alizarian – Lt
,884,22,Alizarian
,90,24,White Lavender
,90,25,Lavender – Ultra Lt
,90,26,Lavender – Pale
,1037,27,White Violet
,100,28,Eggplant – Med Lt
,101,29,Eggplant
,109,30,Blueberry – Med Lt
,110,31,Blueberry
,111,32,Blueberry – Dk
,86,33,Fuchsia
,89,34,Fuchsia – Dk
,1029,35,Fuchsia – Vy Dk
,1220,51,Variegated – Burned Orange
,1209,52,Variegated – Violet
,1203,57,N/A
,1218,69,Variegated – Terra Cotta
,1217,90,Variegated – Yellow
,1215,92,Variegated – Avocado
,1209,94,Khaki Green
,1213,99,Mauve
,1217,103,N/A
,1203,105,Brown
,1218,106,Coral
,1203,107,Carnation
,1204,107,Carnation
,1218,111,Mustard
,1206,115,Garnet
,1210,121,Delft Blue
,1213,125,Seafoam Green
,59,150,Red – Bright
,23,151,Pink
,969,152,Tawny – Dk
,95,153,Lilac
,103,153,Lilac
,873,154,Red – Vy Dk
,1030,155,Forget-Me-Not Blue
,118,156,Blue – Med
,120,157,Blue – Lt
,123,158,Blue – Dk
,178,158,Blue – Dk
,120,159,Petrol Blue – Lt
,175,160,Petrol Blue – Med
,176,161,Petrol Blue – Dk
,159,162,Baby Blue – Lt
,877,163,Green
,240,164,Green – Lt
,278,165,Green – Bright
,280,166,Lime Green
,898,167,Khaki Brown
,398,168,Silver Gray
,849,169,Pewter Gray
,111,208,Lavender – Vy Dk
,109,209,Lavender – Dk
,108,210,Lavender – Med
,342,211,Lavender – Lt
,897,221,Shell Pink – Vy Dk
,895,223,Shell Pink – Lt
,893,224,Shell Pink – Vy Lt
,892,225,Shell Pink – Ult Vy Lt
,1026,225,Shell Pink – Ult Vy Lt
,352,300,Mahogany – Vy Dk
,1049,301,Mahogany – Med
,1006,304,Red – Med
,289,307,Lemon
,42,309,Rose – Dk
,403,310,Black
,148,311,Blue – Med
,979,312,Baby Blue – Vy Dk
,1019,315,Antique Mauve – Med Dk
,1017,316,Antique Mauve – Med
,400,317,Pewter Gray
,399,318,Steel Gray – Lt
,218,319,Pistachio Green – Vy Dk
,215,320,Pistachio Green – Med
,19,321,Red
,47,321,Red
,9046,321,Red
,978,322,Baby Blue
,59,326,Rose – Vy Dk
,100,327,Violet
,110,333,Blue Violet – Vy Dk
,119,333,Blue Violet – Vy Dk
,977,334,Baby Blue – Med
