Anchor,DMC,Cor,
2,3865,00000000 Winter White,#f9f7f1
2,White,00000000 White,#fafafa
6,353,00000000 Peach,#f2a898
8,3824,00000000 Lt Apricot,#ffb496
9,352,00000000 Lt Coral,#ea8079
10,351,00000000 Coral,#de605e
11,350,00000000 Md Coral,#d64542
13,349,00000000 Dk Coral,#c72e33
13,817,00000000 Vy Dk Coral Red,#bf1a23
19,321,00000000 Red,#c32a3c
20,816,00000000 Garnet,#940b24
22,815,00000000 Md Garnet,#840720
22,902,00000000 Vy Dk Garnet,#6d1a2b
23,151,00000000 Vy Lt Dustry Rose,#f3c1cd
23,963,00000000 Ul Vy Lt Dusty Rose,#ffced7
24,776,00000000 Md Pink,#f3949f
25,3716,00000000 Vy Lt Dusty Rose,#f6a7b4
26,894,00000000 Vy Lt Carnation,#ff9bb2
27,893,00000000 Lt Carnation,#fb7493
28,956,00000000 Geranium,#fb5c84
29,891,00000000 Dk Carnation,#f32d3e
31,3708,00000000 Lt Melon,#ffa2b0
33,892,00000000 Md Carnation,#f75172
33,3706,00000000 Md Melon,#ff7f8c
35,891,00000000 Dk Carnation,#f32d3e
35,3705,00000000 Dk Melon,#f75156
36,3326,00000000 Lt Rose,#f3949f
38,956,00000000 Geranium,#fb5c84
39,3832,00000000 Md Raspberry,#e0577e
40,956,00000000 Geranium,#fb5c84
41,893,00000000 Lt Carnation,#fb7493
42,309,00000000 Dk Rose,#c9344d
42,3831,00000000 Dk Raspberry,#b22b54
43,815,00000000 Md Garnet,#840720
44,815,00000000 Md Garnet,#840720
45,814,00000000 Dk Garnet,#79001c
46,666,00000000 Bright Red,#d90028
47,321,00000000 Red,#c32a3c
48,963,00000000 Ul Vy Lt Dusty Rose,#ffced7
49,3689,00000000 Lt Mauve,#fdbace
50,957,00000000 Pale Geranium,#ff9bba
52,899,00000000 Md Rose,#e2697b
54,956,00000000 Geranium,#fb5c84
55,603,00000000 Cranberry,#ee6195
55,604,00000000 Lt Cranberry,#f784aa
57,601,00000000 Dk Cranberry,#de2271
57,602,00000000 Md Cranberry,#e64281
59,150,00000000 Ul Vy Dk Dustry Rose,#a8024a
59,326,00000000 Vy Dk Rose,#af3a4a
59,600,00000000 Vy Dk Cranberry,#d30b61
59,3350,00000000 Ul Dk Dusty Rose,#b84263
59,3831,00000000 Dk Raspberry,#b22b54
60,3688,00000000 Md Mauve,#e890ac
62,603,00000000 Cranberry,#ee6195
62,3805,00000000 Cyclamen Pink,#f34188
62,3806,00000000 Lt Cyclamen Pink,#fd75a9
63,602,00000000 Md Cranberry,#e64281
63,3804,00000000 Dk Cyclamen Pink,#e6367c
65,777,00000000 Vy Dk Raspberry,#810b28
65,3350,00000000 Ul Dk Dusty Rose,#b84263
66,3688,00000000 Md Mauve,#e890ac
68,3687,00000000 Mauve,#c65375
69,3803,00000000 Dk Mauve,#a83255
70,3685,00000000 Vy Dk Mauve,#851531
72,902,00000000 Vy Dk Garnet,#6d1a2b
73,818,00000000 Baby Pink,#ffcece
73,963,00000000 Ul Vy Lt Dusty Rose,#ffced7
74,605,00000000 Vy Lt Cranberry,#ffaac5
74,3354,00000000 Lt Dusty Rose,#eea1b2
75,962,00000000 Md Dusty Rose,#dd818f
75,3733,00000000 Dusty Rose,#e78197
76,961,00000000 Dk Dusty Rose,#da627c
76,3731,00000000 Vy Dk Dusty Rose,#d96280
76,3833,00000000 Lt Raspberry,#eb6d84
77,3687,00000000 Mauve,#c65375
78,917,00000000 Md Plum,#a4175d
79,3687,00000000 Mauve,#c65375
85,3609,00000000 Ul Lt Plum,#ffaacf
86,3608,00000000 Vy Lt Plum,#e67dac
87,3607,00000000 Lt Plum,#d25292
88,718,00000000 Plum,#b73275
89,917,00000000 Md Plum,#a4175d
90,3836,00000000 Lt Grape,#b78da7
92,553,00000000 Violet,#a16089
94,917,00000000 Md Plum,#a4175d
95,153,00000000 Vy Lt Violet,#e3c6d5
