,Circulo,DMC
,54,898
,77,964
,100,B5200
,100,BLANC
,100,3865
,109,3823
,112,744
,112,745
,123,740
,123,970
,123,971
,126,741
,132,727
,135,725
,135,743
,135,3821
,141,445
,141,3078
,143,307
,143,444
,143,973
,146,726
,146,3822
,149,742
,149,972
,152,729
,152,3820
,155,3852
,158,783
,161,680
,161,781
,161,782
,161,3829
,164,780
,164,976
,164,3826
,167,977
,167,3827
,167,3854
,205,948
,205,3770
,208,3779
,208,3824
,211,3341
,214,3340
,217,608
,217,947
,220,946
,223,606
,226,900
,229,349
,229,666
,232,321
,232,817
,235,304
,235,326
,235,347
,235,498
,235,3831
,238,221
,241,815
,241,816
,241,3777
,244,350
,244,355
,244,3328
,244,3830
,247,351
,250,3712
,256,352
,262,353
,262,754
,262,758
,268,819
,274,356
,274,3778
,308,814
,314,309
,314,3731
,314,3832
,317,893
,317,3706
,320,891
,320,892
,320,3705
,323,3801
,326,335
,326,956
,326,961
,332,600
,332,601
,335,225
,335,3713
,338,761
,341,3716
,344,760
,344,894
,344,899
,344,957
,344,962
,344,3708
,344,3833
,347,605
,347,776
,347,3326
,347,3862
,350,3354
,350,3688
,350,3733
,353,602
,353,603
,353,3805
,356,604
,356,3806
,362,963
,365,3689
,371,3687
,374,3803
,377,3350
,377,3804
,401,818
,404,778
,404,3727
,410,224
,413,223
,413,3722
,417,315
,417,3726
,420,3721
,423,902
,423,3802
,426,3685
,429,327
,429,3740
,432,316
,432,3041
,435,3042
,435,3743
,438,210
,438,211
,438,554
,441,3836
,444,209
,444,340
,444,552
,444,553
,447,208
,447,3746
,450,333
,450,550
,450,3837
,453,3834
,453,3835
,459,3608
,462,3609
,465,3607
,471,718
,471,915
,471,917
,518,791
,521,792
,524,312
,524,797
,527,793
,527,3807
,527,3838
,527,3839
,530,341
,533,3747
,536,800
,536,827
,536,3752
,536,3841
,539,809
,539,3755
,542,794
,542,3325
,542,3840
,545,322
,545,799
,548,798
,551,796
,551,820
,554,939
,557,336
,557,823
,560,311
,560,3750
,563,825
,566,824
,566,3842
,572,517
,572,806
,572,826
,572,3760
,572,3765
,606,3766
,609,3845
,609,3846
,612,3844
,615,996
,618,995
,618,3843
,621,932
,630,930
,633,334
,633,813
,633,931
,636,598
,636,3761
,636,3811
,639,747
,639,775
,639,828
,639,3753
,639,3756
,642,518
,642,597
,642,807
,642,3810
,645,3808
,645,3809
,654,926
,654,927
,657,924
,657,3768
,660,501
,660,561
,660,3815
,663,502
,663,3816
,663,3848
,663,3849
,666,503
,666,504
,666,3813
,666,3817
,669,320
,672,564
,672,966
,675,928
,708,369
,708,772
,714,471
,714,3348
,717,470
,717,907
,720,904
,720,3346
,723,988
,723,3347
,726,704
,726,906
,729,368
,729,989
,732,469
,732,702
,735,703
,738,905
,741,701
,744,986
,744,987
,747,367
,747,895
,750,562
,753,991
,753,3814
,756,563
,756,913
,756,954
,756,955
,759,911
,759,912
,762,699
,762,700
,762,909
,762,910
,762,3818
,765,3850
,768,943
,768,3812
,768,3847
,771,958
,771,959
,771,992
,771,3851
,774,993
,800,524
,800,3024
,802,522
,802,523
,802,3013
,802,3023
,802,3053
,804,3052
,804,3364
,806,937
,806,3051
,806,3363
,808,319
,808,890
,808,3345
,810,500
,810,935
,812,520
,812,936
,812,3362
,814,844
,814,934
,814,3021
,816,535
,816,645
,816,3787
,818,370
,818,371
,818,612
,818,3032
,820,580
,820,730
,820,731
,820,3011
,820,3012
,822,829
,822,830
,826,581
,826,734
,828,732
,828,733
,830,472
,830,3819
,832,372
,834,422
,834,833
,834,834
,834,3046
,836,831
,836,832
,836,3045
,836,3828
,838,402
,838,722
,838,3825
,838,3856
,840,922
,840,3776
,840,3853
,842,519
,842,720
,842,721
,844,920
,844,921
,846,918
,846,919
,850,300
,850,400
,850,975
,852,839
,854,838
,854,938
,854,3031
,856,3857
,858,632
,858,3858
,862,841
,864,3772
,864,3859
,866,407
,866,3064
,866,3773
,868,822
,868,3033
,868,3866
,870,945
,870,950
,870,951
,870,3774
,872,3047
,874,437
,874,676
,874,738
,874,3855
,876,435
,876,436
,878,301
,880,433
,880,434
,882,801
,884,610
,884,3781
,888,ECRU
,888,712
,888,746
,890,677
,890,739
,892,3864
,894,840
,894,3863
,896,869
,900,310
,903,413
,903,3799
,908,317
,908,414
,911,318
,911,415
,915,762
,915,3072
,920,646
,920,647
,920,3022
,923,613
,923,644
,925,642
,925,3782
,928,543
,928,842
,930,453
,932,648
,934,451
,934,452
,934,3860
,934,3861
,936,640
,936,3790
,940,420
,940,611
,946,3371
,950,61
,952,105
,954,69
,956,90
,956,104
,956,111
,958,51
,958,108
,962,62
,962,112
,964,57
,964,106
,966,75
,966,115
,968,99
,970,48
,970,107
,970,116
,974,52
,974,102
,976,95
,976,126
,978,67
,978,91
,980,103
,980,113
,980,121
,982,93
,982,124
,984,123
,986,101
,986,114
,986,125
,992,92
,992,94
,992,122
,X,53
